,id,construidos_m,utiles_m,habitaciones,baños,terraza,balcon,estado,orientacion,garaje,año_construido,calefaccion,planta,ascensor,aire_acondicionado,zonas_verdes_o_jardin,ciudad,zona,etiqueta_energetica,precio,precio_anterior,titulo_anuncio
0,0,95.0,82.0,3.0,1.0,SI,NO,Buen estado,este,NO,1975.0,NO,4,NO,NO,NO,Igualada,Centre,e,65000,65000,Piso en venta en calle de Santa Anna s/n
1,1,87.0,87.0,3.0,1.0,NO,NO,Buen estado,no_definido,NO,1960.0,NO,4,SI,NO,NO,Igualada,Centre,c,118500,118500,"Piso en venta en rambla Sant Isidre, 21"
2,2,110.0,110.0,3.0,2.0,SI,NO,Buen estado,no_definido,NO,2007.0,SI,1,SI,NO,NO,Igualada,Centre,e,144000,144000,DÃºplex en venta en Sant Bartomeu
3,3,78.0,78.0,2.0,2.0,SI,NO,Buen estado,no_definido,NO,2007.0,SI,1,SI,NO,NO,Igualada,Centre,e,139000,139000,DÃºplex en venta en Sant Bartomeu
4,4,186.0,154.0,3.0,3.0,SI,NO,Buen estado,este,SI,2006.0,SI,2,NO,NO,NO,Igualada,Igualada,e,199000,210000,Casa o chalet independiente en venta en Ponent
5,5,114.0,80.0,4.0,2.0,NO,SI,Buen estado,norte,NO,1970.0,SI,1,SI,NO,NO,Igualada,Igualada,NO,79500,79500,Piso en venta en Centre
6,6,80.0,75.0,4.0,1.0,NO,NO,Buen estado,sur,SI,1974.0,NO,1,NO,NO,NO,Igualada,Ponent,e,99000,99000,Piso en venta en calle del Pare Salvador Font s/n
7,7,794.0,420.0,10.0,6.0,SI,NO,Buen estado,no_definido,SI,1984.2057416267942,SI,2,NO,NO,JardÃ­n,Igualada,Igualada,g,795000,795000,MasÃ­a en venta en Pla de Sant Magi
8,8,78.0,68.0,2.0,2.0,SI,SI,Buen estado,no_definido,NO,2007.0,NO,2,SI,NO,NO,Igualada,Centre,e,139000,139000,DÃºplex en venta en calle de Sant Bartomeu
9,9,91.0,68.0,3.0,2.0,SI,SI,Buen estado,norte,SI,2015.0,SI,3,SI,NO,NO,Igualada,Igualada,e,197000,200000,DÃºplex en venta en Llevant
10,10,95.0,75.0,3.0,1.0,NO,SI,Buen estado,sur,SI,1975.0,SI,3,SI,SI,NO,Igualada,Igualada,e,136000,142500,Piso en venta en Llevant
11,11,264.0,194.0,4.0,4.0,SI,NO,Buen estado,norte,SI,1963.0,SI,2,NO,NO,NO,Igualada,Ponent,NO,250000,250000,Chalet pareado en venta en calle de Nostra Senyora d'Ãfrica
12,12,74.0,58.0,3.0,1.0,NO,NO,Buen estado,sur,NO,1975.0,SI,2,NO,NO,NO,Igualada,Igualada,e,120000,120000,Piso en venta en Llevant
13,13,95.0,90.0,4.0,1.0,NO,NO,Buen estado,norte,NO,1974.0,NO,1,SI,NO,NO,Igualada,Igualada,d,125000,125000,Piso en venta en Llevant
14,14,271.0,231.0,8.0,3.0,SI,SI,Buen estado,sur,SI,1950.0,SI,2,NO,NO,JardÃ­n,Igualada,Igualada,NO,330000,330000,Casa o chalet independiente en venta en Pla de Sant Magi
15,15,200.0,136.0,4.0,2.0,SI,SI,Buen estado,no_definido,SI,2006.0,SI,1,SI,SI,NO,Igualada,Igualada,f,365000,365000,Piso en venta en Pla de Sant Magi
16,16,317.0,278.0,8.0,3.0,SI,SI,Por reformar,sur,SI,1939.0,NO,2,NO,NO,JardÃ­n,Igualada,Igualada,NO,166000,166000,Casa o chalet independiente en venta en Les Comes
